|Compound type|Chinese|
|------|------|
|V|拍,坐,居,吹,漂浮,吐,呷,聽,刣,拭,挨,數,綁,食,走,落,遁,給,碰,?,㰵,睏,掰,特,斬,㧸,跑,腐,見,亡刀,𫦉,打,淌,唚,攪,挖,倒,叨,拋,繗,砍,斫,朵,揎,壓,呼,耍,嗍,榨,流,转,乃豈,宰,汧,跪,逿,縫,樂,捆,逃,無,抵,跌,抹,挑,吸,眠,攞,嬉,來,楠,䋎,睡,氽,诧,搦,哜,杀,行,𪘬,抓,縛,唬,洗,撖,聞,摕,擦,仍,說,烧,抾,漂,躺,撥,扎,爛,巴,挤,畏,啡,互,啄,站,丟,掀,徛,嚙,擺,啜,講,拈,撂,㧍,戳,裹,瓜,飲,掉,喫,浮,嘔,乞,游,死,推,飛,捉,拖,扯,唠,𢬮,話,立,驚,㖹,怕,揩,摀,刨,鼻,笑,摣,拿,翻,玩,想,搲,刷,摔,歹,𢱤,嫽,頓,掠,甩,剁,𢱋,嗅,共,拉,點,逮,喝,把,掼,手點,连,刺,剉,囗,咬,掏,擔,啉,唱,吮,撕,吃|
|V V|洗澡,嬉戏,𨑨迌,會仈,嘔吐,腐爛,聽着,拿賜,睡倒,活絡,縫纫,漂浮,仈傳,撕開,撕裂,走來,会晓,知得,呼吸,看到,囗得,㽹惡,扯開,游泳,晓得,擺𠲥,帶囗,聽見,知影,看見,看着,飲腐,角逆,聽到,看倒,瞅見,睇見,拆扌丽,扯裂,扯破,知道|
|V S|立着,嘔了,打起,朿見着,活葛,睡起,懂了,爛起,活着,吐了,嘔嘞,捆起,活其,爛了|
|V V S|發吐了|
|N N|耳朵,霧氣,羽毛,眼珠,夜裡,阿姆,老媽,翼梭,媳婦,下黑,圆圈,丈夫,眼窝,頭毛,老婆,月娘,雞卵,晚上,灰塵,翼膀,牙齒,娘妳,嘴舌,月光,老娘,塗粉,伊姐,母親,蒙纱,心臟,腦壳,腸子,森林,黃昏,迷露,棍棍,目珠,郎罷,扣頸,頭髮,虱母,奶姑,脂肪,肉皮,翅𦑜,翼毛,肚皮,种籽,女婿,頷頸,滃塵,腳板,脊背,頸項,天里,翼胛,云彩,完心,老小,老公,鼻公,脚爪,家叉+蟲,叶?,皮膚,堂客,目睭,眼,眼睛,下昏,口舌,坌塵,頭頸,背脊,天上,頸根,塵土,女人,翅膀,土地,娭,暗晡,名字,老妪,夜晚,星星,姆媽,老汉,油脂,水果,翅光,女官,板油,凌冰,毛毛,父親,膝盖,奶奶,頸骨,奶婆,天頂,胛脊,老安,蛇哥,奶房,树林,树皮,天空,頭壳,蟲蟻,脰骨,虱嫲,后晌,地皮,葉光,鼻孔,乳房,太陽,繩索,全部,厝里,骹腿,婆娘,骹骨,肚腸,鼻哥,腹肚,膝蓋,喙齒,夜下,星宿,暝晡,年份,涂地,雞蛋|
|N|匝,人,树,骹,頭,骨,湖,角,水,父,五,嘴,翅,數,膏,油,?,爪,腳,風,星,娃,蛇,歲,狗,煙,腿,皮,肉,牙,某,四,𩪘,舌,竹若,爺,肝,載,月,膀,頸,叶,爸,棒,草,雀,霜,娘,二,雪,海,尾,种,火,年,眼,达,姐,三,膝,云,塵,手,蜀,江,日,虱,肚,犬,一,花,霧,幔,血,莖,爷,繩,鱼,根,奶,齒,索,道,背,河,棍,圆,爹,鼻,鳥,孩,路,喙,心,媽,沙,冰,毛,地,团,灰,墿,耳,囗,腸,兩,天,蟲,盐,山,雨|
|N N2|皮皮,索索,媽媽,沙沙,子子,煙煙,崽崽,角角,妈妈,爹爹,竹若竹若,娒娒,尾尾,渣渣,星星,爪爪,爺爺,爸爸,腳腳,灰灰,雀雀,奶奶,骨骨,娃娃|
|N S|鳥,肚子,腸子,虱子,沙子,沙儿,舌嫲,土垃,老子,索子,骨頭,花仔,膝囗,花儿,腹老,尾巴,鼻,盐巴,日頭,尾子,索仔,腸仔,犬囝,娃儿,脖子,角,种?,鼻頭,果們,果子,舌仔,爪子,嘴巴,肚皮,舌头,翅子,石頭,兜子,雀子,翅仔,舌子,天中,星子,腸?,膝頭,鼻子,皮子,耳公,叶子,孩子,繩子,汉字,娘們,雞子,树儿,罩子,鳥唧,林子,歲頭,鳥儿,牙巴,頸子,渣子,黑了,耳仔,捶仔,种子,棒儿,星?,孩儿,牙子,花?,雀儿,舌頭,棍儿,奶仔,奶子,鼻仔,妻子,骨都,棍子,煙子,囝仔|
|V A|帶勁,浮倒,不賴,不糙|
|V P|漂𡅏,浮𡅏|
|A|賁,湿,脏,窄,痞,肿,黃,滿,狭,愚,好,恘,直,新,小,操,寬,濫,寡,大,否,綠,寒,爆,呆,歁,白,嫩,長,多,壞,笨,干,鄙,远,老,毛,紅,⽧臺,闊,潮,彪,重,冷,短,平,少,熱,凍,木,尖,進,雛,細,拐,黑,囗,瓜,厚,浮,薄,凊,烏,焦,對|
|N N S|骹腹頭,腳饅頭,諸娘儂,老娘們,腿肚子,褲膝頭,夜間子,腿把子,虱婆子,树林子,手把子,腳膝頭,腳胐頭,肥肉子,沙婆子,老爷们,克膝头,囗囗子,翼胛子,脖颈子|
|N A N|娃大妈,天老爺,眼烏珠,家主婆|
|N N N|額膝骨,波棱蓋,伲囝哥,爺老倌,丈夫儂,夜裡向,克膝蓋,梭老二,波羅蓋,五爪龙,簸棱盖,眼灵珠,丈夫人,膝蓋骨,下晚黑,屋裡人,背骶身|
|A G|男的,女的|
|A N|女客,男人,眾牲,男界,正边,济面,右手,小嘎,小边,小人,女仂,女人,老蛇,壯肉,女界,全部,右岸,男仂,咸盐,左面,先生,男客,小孩,右边,右片,倒片,右面,长虫,細儿,左边,大边,左手|
|N V N|內當家|
|N N2 S|婆婆子|
|A A V|個郎下|
|V N S|洗身儿,泅河儿,構棱子,打交儿|
|Adv|否,不,唔,勿,伓|
|C N|如果,若果|
|V V N|打比说|
|C C|假使|
|C Pron|要是,假系,若是|
|C V|若还,倘若|
|V N|吸氣,洗澡,浮水,游水,囗水,無綻,關山,動物,打獵,喘氣,打錘,結冰,打仗,扯构,爱人,下凜,玩水,打架,游泳,打捶,拍獵,𢻕氣,出氣,倒落,泅水,呼氣,得腦,凍冰,构凌,干仗,跳虱,透氣|
|A V|透流|
|Pron Pron|邊度,俚竹+马,底隹又,什麼,狃宕,哪疙,我俺|
|Pron|咯,呢,该,伊,尔,他,那,俚,佢,𪜶,回,乜,歸,吾,迄,誰,即,倷,啥,哪,㑑,你,只,許,佳,𠹼,这,竹固,者,怎,囗,渠,俺,𠰻,如,我|
|Pron Pt|什哩,何呢,甚仂|
|Pron S|吾伲,那,佢哋,如儂,我倈,我哋,渠們,渠俫,哪嘞,他㑲,我們,哪?,啥子,麼子,麽子,他們|
|Pron CLS|啷個,吗个,咋个,哪個,脉個,这块|
|Pron N|伊儂,该里,即带,彎面,侬家,什乇,乜嘢,渠人,底所,我人,那,该搭,瞞人,底儂,这疙,迄帶,啊搭,哪搭,那里,只里,那塊,哪里,什物,夫塊,竹固裏,啥人,尔搭,这里,咯裏,这?,旁單,哪塊|
|N S S S|石頭子儿|
|N S N|日頭爺,外头人,膝頭骨,石頭塊,腳頭足夫,日頭窠,妹?人|
|Pron Pt N|何呢人|
|Pron P CLS|何至個|
|V Adv|撕烂|
|V N N|彈四郎|
|Pron G|怎的,他的|
|Pron S N|佢丁人,𠊎丁人|
|Pron G CLS|他的個|
|Pron C Pron|奴各侬,伊各儂|
|V V V|躺倒起|
|N A|月明,頭那,月亮,月光|
|N Pron N|頭那髮,娃他爸|
|Adv N|将其,将样,点样,怎样,酿般,白相|
|N V|賭打,骹遛|
|N Pt|黑咧|
|N S S|腳丫子,囗囗囗,尾巴|
|Pron S S|我竹固哩|
|Pron S N CLS|我囗囗囗|
|Pron N C Pron|侬家各侬|
|N S N N2|树子叶叶|
|P V|因为|
|P Pt|庸乎|
|V A N|淴冷浴|
|A N Pt|右边拉|
|A N N2|小娃娃,右边边|
|A N N|男人家,右手边,女人家,左边拉,細人家,左手边,老娘客|
|N A S S|月亮巴巴|
|P|在,宿,着|
|A A|鏖糟,歯屋歯足,活囗,瓜肿,邋遢,窄狭,厚實,蒌馊,囗赖,拉渣,流疡,個郎,埋汰,汚糟,龌龊,腌臢|
|Adv S|怎么|
|Adv Pron|些那,如何,怎底|
|Adv Adv2|采翘,纳亨|
|Adv V|和是,相拍|
|V N G|掌櫃的|
|A N S|左边儿,細人儿,細伢子,老倌子,老爺們|
|A CLS|囗个,该个|
|Pron CLS N N|这个地方,那個地方|
|Pron N N N|这嗒里下|
|Pron V|何至,呢到|
|V N V|打相打|
|N N V|四骹爬|
|Pref N|阿爸,依媽,老爸,依奶,老姆,依爺,阿奶,阿姆,依爹,依爸|
|N A S|伢細子,娘老子|
|A CLS N|細個崽|
|A CLS S|細個子|
|C|跟,伉,和,同,搭,共|
|V CLS|活個,健個,生個|
|V G|活的|
|V CLS Pt|活個囗|
|A S|進兜,生嘅|
|Pron V N|哪跟前|
|N Pron|里囗|
|CLS V|個到|
|A A N S|大老爺們|
|A S N|男子客,男?人|
|Pref N N|查某人|
